T-6h Precursor Inputs,,,,,,,,Forecast Predictions,,,,,,,Ground Truth,,Rubric Scores,,,
Model: Claude,,,,,,,,,,,,,,,,,,,,
Item ID,Event Type,Location,Latitude,Longitude,Temperature (T-6h),Wind (T-6h),MSLP (T-6h),Event Will Occur,Affected Region,Severity,Forecast Confidence (%),At-Event Temperature,At-Event Wind,At-Event MSLP,GT Severity,GT Confidence (%),"Correctness
(0–2)","Severity
Alignment
(0–1)","Calibration
Score
(0–1)","Total
Score
(0–4)"
11,Tropical Cyclone,"Rockport, Aransas County, Texas, USA",28.03,-97.05,88°F / 31°C,"110 kt (~127 mph) sustained, WNW at 9 mph",937 hPa,Yes,"Rockport, Port Aransas & Aransas County, Texas",Extreme,96%,88°F / 31°C,"130 kt (~150 mph) sustained, NW at 7 mph",938 hPa,Extreme,80,2.00,1.00,0.84,3.84
12,Tropical Cyclone,"Yabucoa, Puerto Rico, USA",18.05,-65.89,84°F / 29°C,"140 kt (~161 mph) sustained, WNW at 15 mph",910 hPa,Yes,"Yabucoa, Humacao & eastern Puerto Rico",Extreme,97%,84°F / 29°C,"155 kt (~178 mph) sustained, WNW at 13 mph",908 hPa,Extreme,68,2.00,1.00,0.71,3.71
13,Tropical Cyclone,"Cudjoe Key, Monroe County, Florida, USA",24.67,-81.52,82°F / 28°C,"130 kt (~150 mph) sustained, NNW at 8 mph",929 hPa,Yes,Florida Keys & Monroe County,Extreme,98%,81°F / 27°C,"140 kt (~161 mph) sustained, NNW at 6 mph",916 hPa,Extreme,90,2.00,1.00,0.92,3.92
14,Tropical Cyclone,"Cayo Costa, Lee County, Florida, USA",26.67,-82.26,85°F / 29°C,"125 kt (~144 mph) sustained, NNE at 10 mph",940 hPa,Yes,"Lee County & Fort Myers area, Florida",Extreme,96%,85°F / 29°C,"130 kt (~150 mph) sustained, NNE at 8 mph",934 hPa,Extreme,72,2.00,1.00,0.76,3.76
15,Tropical Cyclone,"Port Fourchon, Lafourche Parish, Louisiana, USA",29.11,-90.20,86°F / 30°C,"130 kt (~150 mph) sustained, NNW at 15 mph",931 hPa,Yes,"Lafourche & Terrebonne Parishes, Louisiana",Extreme,97%,86°F / 30°C,"140 kt (~161 mph) sustained, NNW at 12 mph",924 hPa,Extreme,85,2.00,1.00,0.88,3.88
16,Tropical Cyclone,"Homestead, Miami-Dade County, Florida, USA",25.51,-80.27,84°F / 29°C,"120 kt (~138 mph) sustained, WNW at 17 mph",940 hPa,Yes,"Miami-Dade & Broward Counties, Florida",Extreme,95%,83°F / 28°C,"130 kt (~150 mph) sustained, WNW at 15 mph",932 hPa,Extreme,55,2.00,1.00,0.60,3.6
17,Tropical Cyclone,"Hainggyikyun Island, Ayeyarwady Delta, Myanmar",16.50,95.00,84°F / 29°C,"100 kt (~115 mph) sustained, ENE at 14 kt",962 hPa,Yes,"Ayeyarwady Delta & Irrawaddy coast, Myanmar",High,85%,83°F / 28°C,"110 kt (~127 mph) sustained, ENE at 12 kt",958 hPa,Extreme,30,2.00,0.50,0.45,2.95
18,Tropical Cyclone,"Baggao, Cagayan Province, Philippines",18.20,121.43,83°F / 28°C,"155 kt (~178 mph) sustained, WNW at 28 kt",900 hPa,Yes,"Cagayan province & northern Luzon, Philippines",Extreme,98%,82°F / 28°C,"165 kt (~190 mph) sustained, WNW at 25 kt",897 hPa,Extreme,78,2.00,1.00,0.80,3.8
19,Tropical Cyclone,"Port Vila, Efate Island, Vanuatu",-17.73,168.32,84°F / 29°C,"150 kt (~173 mph) sustained, SSE at 22 kt",895 hPa,Yes,"Efate Island & Port Vila, Vanuatu",Extreme,97%,83°F / 28°C,"160 kt (~184 mph) sustained, SSE at 18 kt",884 hPa,Extreme,62,2.00,1.00,0.65,3.65
20,Tropical Cyclone,"Beira, Sofala Province, Mozambique",-19.84,34.84,82°F / 28°C,"115 kt (~132 mph) sustained, SSW at 10 kt",949 hPa,Yes,"Beira, Sofala Province & central Mozambique coast",Extreme,94%,82°F / 28°C,"120 kt (~138 mph) sustained, SSW at 8 kt",944 hPa,Extreme,50,2.00,1.00,0.56,3.56
21,Mediterranean Cyclone,"Derna, Derna District, Libya",32.76,22.64,25°C / 77°F,"NE 40 km/h (~25 mph), cyclonic inflow",997 hPa,Yes,"Derna, Al Bayda & NE Libya coast",Extreme,82%,22°C / 72°F,"NE 60 km/h (~37 mph), heavy rainfall",987 hPa,Extreme,28,2.00,1.00,0.46,3.46
22,Flash Flood,"Altenahr, Ahrweiler District, Rhineland-Palatinate, Germany",50.53,7.02,17°C / 63°F,E 18 km/h (~11 mph),1007 hPa,Yes,"Ahr Valley, Erft basin & NW Germany",Extreme,86%,18°C / 64°F,"E 10 km/h (~6 mph), training storms",1002 hPa,Extreme,38,2.00,1.00,0.52,3.52
23,Monsoon Flooding,"Larkana, Sindh Province, Pakistan",27.52,68.76,32°C / 90°F,"SW 15 km/h (~9 mph), monsoon flow",1004 hPa,Yes,"Sindh Province & Indus plains, Pakistan",Extreme,88%,31°C / 88°F,"SW 10 km/h (~6 mph), stagnant moisture pool",1002 hPa,Extreme,22,2.00,1.00,0.34,3.34
24,Heat Wave,"Hyderabad, Telangana, India",17.38,78.47,41°C / 106°F,W 10 km/h (~6 mph),1001 hPa,Yes,"Hyderabad, Telangana & central Deccan Plateau",High,90%,44°C / 111°F,"W 5 km/h (~3 mph), near-calm & clear",999 hPa,Extreme,42,2.00,0.50,0.52,3.02
25,Heat Wave,"Chicago Midway Airport (KMDW), Illinois, USA",41.79,-87.75,34°C / 93°F,SW 8 mph,1015 hPa,Yes,Chicago metro & Great Lakes shoreline,High,87%,36°C / 97°F,"SW 5 mph, near-calm heat dome",1012 hPa,Extreme,40,2.00,0.50,0.53,3.03
26,Tornado,"Moore, Cleveland County, Oklahoma, USA",35.33,-97.49,77°F / 25°C,"S-SW 28 mph, active low-level jet",995 hPa,Yes,"Moore, Oklahoma City metro & central Oklahoma",Extreme,94%,79°F / 26°C,"S-SW 45+ mph, violent EF5 circulation",972 hPa,High,78,2.00,0.50,0.84,3.34
27,Tropical Cyclone,"Les Anglais, Grand'Anse Department, Haiti",18.25,-73.98,83°F / 28°C,"140 kt (~161 mph) sustained, N at 8 kt",934 hPa,Yes,"Grand'Anse, Sud & SW Haiti coast",Extreme,96%,83°F / 28°C,"145 kt (~167 mph) sustained, N at 6 kt",928 hPa,High,82,2.00,0.50,0.86,3.36
28,Tropical Cyclone,"Cameron, Cameron Parish, Louisiana, USA",29.80,-93.32,86°F / 30°C,"130 kt (~150 mph) sustained, NNW at 15 kt",937 hPa,Yes,"Cameron & Calcasieu Parishes, SW Louisiana",Extreme,96%,86°F / 30°C,"140 kt (~161 mph) sustained, NNW at 12 kt",930 hPa,High,88,2.00,0.50,0.92,3.42
29,Derecho,"Columbus, Franklin County, Ohio, USA",39.96,-82.99,95°F / 35°C,"SW 15 mph, strong capping present",1006 hPa,Yes,"Ohio, Indiana & Great Lakes corridor",High,84%,97°F / 36°C,"SW 60+ mph, embedded supercell winds",997 hPa,High,62,2.00,1.00,0.78,3.78
30,Derecho,"Cedar Rapids, Linn County, Iowa, USA",41.98,-91.66,84°F / 29°C,"SSE 18 mph, elevated boundary layer instability",1010 hPa,Yes,"Cedar Rapids, Iowa City & eastern Iowa corridor",High,86%,85°F / 29°C,"SSE 25 mph, squall-line bow segment",1001 hPa,High,55,2.00,1.00,0.69,3.69
31,Extratropical Cyclone,"Birmingham, Jefferson County, Alabama, USA",33.55,-86.80,35°F / 2°C,"NW 35 mph, blizzard conditions developing",965 hPa,Yes,"Alabama, Georgia & SE US",High,88%,33°F / 1°C,"NW 45 mph, heavy snow & icing",958 hPa,High,88,2.00,1.00,1.00,4
32,Flash Flood,"Boulder, Boulder County, Colorado, USA",40.01,-105.27,65°F / 18°C,"ENE 10 mph, persistent upslope flow",1013 hPa,Yes,"Boulder Creek watershed & Front Range foothills, Colorado",High,85%,60°F / 16°C,"ENE 8 mph, prolonged upslope precip",1011 hPa,High,42,2.00,1.00,0.57,3.57
33,Riverine Flood,"Cedar Rapids, Linn County, Iowa, USA",41.98,-91.66,72°F / 22°C,S-SW 12 mph,1008 hPa,Yes,"Cedar Rapids metro & Linn County, Iowa",High,87%,73°F / 23°C,"S 8 mph, basin saturated from prior rain",1006 hPa,High,35,2.00,1.00,0.48,3.48
34,Flash Flood,"Hiroshima, Hiroshima Prefecture, Japan",34.40,132.46,28°C / 82°F,SE 18 km/h (~11 mph),1007 hPa,Yes,"Hiroshima & Asa River basin, Japan",High,83%,29°C / 84°F,"SE 10 km/h (~6 mph), landslide-triggering rain",1004 hPa,High,52,2.00,1.00,0.69,3.69
35,Riverine Flood,"Lismore, Richmond Valley, New South Wales, Australia",-28.81,153.28,23°C / 73°F,"NNE 28 km/h (~17 mph), tropical moisture feed",1004 hPa,Yes,"Lismore, Richmond-Tweed & northern NSW rivers",Extreme,88%,22°C / 72°F,"NNE 20 km/h (~12 mph), slow-moving trough",1001 hPa,High,45,2.00,0.50,0.57,3.07
36,Heat Wave,"Observatory Hill, Sydney, New South Wales, Australia",-33.87,151.21,36°C / 97°F,"NW 28 km/h (~17 mph), hot northerly",1016 hPa,Yes,"Sydney, SE Australia coastal plain",High,89%,41°C / 106°F,"NW 35 km/h (~22 mph), then E sea breeze",1013 hPa,High,65,2.00,1.00,0.76,3.76
37,Tropical Cyclone,"Kagoshima, Kagoshima Prefecture, Japan",31.60,130.56,28°C / 82°F,"105 kt (~121 mph) sustained, NNW at 10 kt",940 hPa,Yes,"Kagoshima & Kyushu island, Japan",Extreme,95%,27°C / 81°F,"110 kt (~127 mph) sustained, NNW at 8 kt",938 hPa,High,85,2.00,0.50,0.90,3.4
38,Monsoon Flooding,"Nowshera, Khyber Pakhtunkhwa, Pakistan",34.02,71.98,34°C / 93°F,"SW 20 km/h (~12 mph), active monsoon flow",1003 hPa,Yes,"Nowshera, Charsadda & Kabul–Swat river basin, Pakistan",Extreme,90%,33°C / 91°F,"SW 15 km/h (~9 mph), widespread basin flooding",1001 hPa,High,30,2.00,0.50,0.40,2.9
39,Tropical Cyclone,"Gulf Shores, Baldwin County, Alabama, USA",30.26,-87.70,85°F / 29°C,"115 kt (~132 mph) sustained, NNW at 12 kt",946 hPa,Yes,"Gulf Shores, Gulf Coast Alabama & Mississippi",Extreme,95%,85°F / 29°C,"120 kt (~138 mph) sustained, NNW at 10 kt",940 hPa,High,82,2.00,0.50,0.87,3.37
40,Tropical Cyclone (Post-tropical),"Palm Springs area, Riverside County, California, USA",33.73,-116.37,89°F / 32°C,SW 38 mph (~33 kt) tropical-storm-force,1003 hPa,Yes,"Inland Southern California, Palm Springs & Coachella Valley",High,78%,92°F / 33°C,SW 50 mph (~43 kt) tropical-storm-force,998 hPa,Medium,85,2.00,0.50,0.93,3.43
41,Polar Vortex Displacement,"Chicago O'Hare ASOS (KORD), Illinois, USA",41.98,-87.90,-11°F / -24°C,NW 22 mph; wind chill -35°F / -37°C,1036 hPa,Yes,Chicago metro & upper Midwest,Extreme,97%,-20°F / -29°C,NW 28 mph; wind chill -45°F / -43°C,1040 hPa,Medium,88,2.00,0.00,0.91,2.91
42,Early-Season Blizzard,"Rapid City, Pennington County, South Dakota, USA",44.08,-103.23,26°F / -3°C,"NNE 40 mph, blizzard conditions",977 hPa,Yes,Black Hills & western South Dakota,High,92%,22°F / -6°C,"NNE 50+ mph, whiteout blizzard",970 hPa,Medium,48,2.00,0.50,0.56,3.06
43,Flash Flood,"Wimberley, Hays County, Texas, USA",30.00,-98.10,72°F / 22°C,"S 12 mph, strong moisture inflow",1009 hPa,Yes,"Blanco & Guadalupe River valleys, central Texas Hill Country",Extreme,88%,73°F / 23°C,"S 8 mph, catastrophic flood surge",1006 hPa,Medium,38,2.00,0.00,0.50,2.5
44,Flash Flood,"Baton Rouge, East Baton Rouge Parish, Louisiana, USA",30.45,-91.15,88°F / 31°C,"SSE 12 mph, deep Gulf moisture",1010 hPa,Yes,"Baton Rouge & Livingston Parish, Louisiana",Extreme,90%,88°F / 31°C,"SSE 8 mph, record rainfall & flooding",1008 hPa,Medium,40,2.00,0.00,0.50,2.5
45,Blizzard,"Philadelphia International Airport (KPHL), Pennsylvania, USA",39.87,-75.24,28°F / -2°C,"NE 28 mph, heavy snow developing",975 hPa,Yes,"Philadelphia, Delaware Valley & I-95 corridor",Extreme,93%,27°F / -3°C,"NE 35 mph, heavy accumulating snow",970 hPa,Medium,82,2.00,0.00,0.89,2.89
46,Bomb Cyclone,"Omaha, Douglas County, Nebraska, USA",41.26,-95.86,33°F / 1°C,"NNW 40 mph, blizzard conditions",968 hPa,Yes,"Omaha, Lincoln & central Great Plains",Extreme,94%,31°F / -1°C,"NNW 55+ mph, historic blizzard",960 hPa,Medium,78,2.00,0.00,0.84,2.84
47,Riverine Flood,"Calgary, Alberta, Canada",51.05,-114.07,14°C / 57°F,SW 15 km/h (~9 mph),1008 hPa,Yes,"Calgary & Bow River valley, Alberta",High,85%,12°C / 54°F,"SW 12 km/h (~7 mph), rising Bow/Elbow Rivers",1006 hPa,Low,48,2.00,0.00,0.63,2.63
48,Heat Wave,"Phoenix Sky Harbor Airport (KPHX), Maricopa County, Arizona, USA",33.44,-112.01,108°F / 42°C,W 8 mph,1003 hPa,Yes,"Phoenix metro & Maricopa County, Arizona",Extreme,97%,118°F / 48°C,"W 5 mph, near-calm record heat",1001 hPa,Low,92,2.00,0.00,0.95,2.95
49,Flash Flood,"Montpelier, Washington County, Vermont, USA",44.26,-72.58,70°F / 21°C,"SE 8 mph, slow-moving system",1010 hPa,Yes,"Montpelier, Winooski River basin & central Vermont",High,86%,70°F / 21°C,"SE 5 mph, prolonged heavy rain onset",1007 hPa,Low,45,2.00,0.00,0.59,2.59
50,Blizzard,"Chicago O'Hare ASOS (KORD), Illinois, USA",41.98,-87.90,26°F / -3°C,"NE 32 mph, heavy snow developing",972 hPa,Yes,Chicago O'Hare area & northern Illinois,High,91%,24°F / -4°C,"NE 40 mph, blizzard with heavy snowfall",968 hPa,Low,90,2.00,0.00,0.99,2.99
Mean Scores (Claude),,,,,,,,,,,,,,,,,2.0000,0.6300,0.7162,3.3462
