T-6h Precursor Inputs,,,,,,,,Forecast Predictions,,,,,,,Ground Truth,,Rubric Scores,,,
Model: Gemini,,,,,,,,,,,,,,,,,,,,
Item ID,Event Type,Location,Latitude,Longitude,Temperature (T-6h),Wind (T-6h),MSLP (T-6h),Event Will Occur,Affected Region,Severity,Forecast Confidence (%),At-Event Temperature,At-Event Wind,At-Event MSLP,GT Severity,GT Confidence (%),"Correctness
(0–2)","Severity
Alignment
(0–1)","Calibration
Score
(0–1)","Total
Score
(0–4)"
11,Tropical Cyclone,"Rockport, Aransas County, Texas, USA",28.03,-97.05,88°F / 31°C,"110 kt (~127 mph) sustained, WNW at 9 mph",937 hPa,Yes,"Texas Middle Coast & Coastal Bend, USA",Extreme,91%,31°C / 88°F,"130 mph sustained, gusts to 150 mph",938 hPa,Extreme,80,2.00,1.00,0.89,3.89
12,Tropical Cyclone,"Yabucoa, Puerto Rico, USA",18.05,-65.89,84°F / 29°C,"140 kt (~161 mph) sustained, WNW at 15 mph",910 hPa,Yes,Entire Island of Puerto Rico & USVI,Extreme,89%,29°C / 84°F,"155 mph sustained, Category 4 system",920 hPa,Extreme,68,2.00,1.00,0.79,3.79
13,Tropical Cyclone,"Cudjoe Key, Monroe County, Florida, USA",24.67,-81.52,82°F / 28°C,"130 kt (~150 mph) sustained, NNW at 8 mph",929 hPa,Yes,Florida Keys & Southwest Florida peninsula,High,88%,28°C / 82°F,"130 mph sustained, Category 4 strength",929 hPa,Extreme,90,2.00,0.50,0.98,3.48
14,Tropical Cyclone,"Cayo Costa, Lee County, Florida, USA",26.67,-82.26,85°F / 29°C,"125 kt (~144 mph) sustained, NNE at 10 mph",940 hPa,Yes,Southwest Florida Coast (Fort Myers/Naples),Extreme,86%,29°C / 85°F,"150 mph sustained, Category 4 landfall",940 hPa,Extreme,72,2.00,1.00,0.86,3.86
15,Tropical Cyclone,"Port Fourchon, Lafourche Parish, Louisiana, USA",29.11,-90.20,86°F / 30°C,"130 kt (~150 mph) sustained, NNW at 15 mph",931 hPa,Yes,Southeast Louisiana & Inland Mississippi,High,85%,30°C / 86°F,150 mph sustained Category 4 winds,931 hPa,Extreme,85,2.00,0.50,1.00,3.5
16,Tropical Cyclone,"Homestead, Miami-Dade County, Florida, USA",25.51,-80.27,84°F / 29°C,"120 kt (~138 mph) sustained, WNW at 17 mph",940 hPa,Yes,"Southern Miami-Dade County, Florida, USA",Extreme,93%,29°C / 84°F,165 mph sustained Category 5 winds,922 hPa,Extreme,55,2.00,1.00,0.62,3.62
17,Tropical Cyclone,"Hainggyikyun Island, Ayeyarwady Delta, Myanmar",16.50,95.00,84°F / 29°C,"100 kt (~115 mph) sustained, ENE at 14 kt",962 hPa,Yes,Ayeyarwady Division & Yangon Region,Extreme,55%,29°C / 84°F,"130 mph sustained, driving heavy surge",962 hPa,Extreme,30,2.00,1.00,0.75,3.75
18,Tropical Cyclone,"Baggao, Cagayan Province, Philippines",18.20,121.43,83°F / 28°C,"155 kt (~178 mph) sustained, WNW at 28 kt",900 hPa,Yes,"Northern Luzon (Cagayan Valley), Philippines",High,88%,28°C / 83°F,165 mph sustained Super Typhoon winds,905 hPa,Extreme,78,2.00,0.50,0.90,3.4
19,Tropical Cyclone,"Port Vila, Efate Island, Vanuatu",-17.73,168.32,84°F / 29°C,"150 kt (~173 mph) sustained, SSE at 22 kt",895 hPa,Yes,"Shefa and Tafea Provinces, Vanuatu",Extreme,82%,29°C / 84°F,"Winds exceeding 160 mph, Cat 5 strength",895 hPa,Extreme,62,2.00,1.00,0.80,3.8
20,Tropical Cyclone,"Beira, Sofala Province, Mozambique",-19.84,34.84,82°F / 28°C,"115 kt (~132 mph) sustained, SSW at 10 kt",949 hPa,Yes,Central Mozambique (Sofala & Manica),Extreme,74%,28°C / 82°F,"110 mph sustained, torrential rainfall",949 hPa,Extreme,50,2.00,1.00,0.76,3.76
21,Mediterranean Cyclone,"Derna, Derna District, Libya",32.76,22.64,25°C / 77°F,"NE 40 km/h (~25 mph), cyclonic inflow",997 hPa,Yes,Cyrenaica Region (Northeastern Libya),Extreme,61%,25°C / 77°F,"Medicane landfall, catastrophic dam breach",997 hPa,Extreme,28,2.00,1.00,0.67,3.67
22,Flash Flood,"Altenahr, Ahrweiler District, Rhineland-Palatinate, Germany",50.53,7.02,17°C / 63°F,E 18 km/h (~11 mph),1007 hPa,Yes,"Ahr River Valley, Western Germany",Extreme,65%,17°C / 63°F,Convective precipitation up to 6 inches,1007 hPa,Extreme,38,2.00,1.00,0.73,3.73
23,Monsoon Flooding,"Larkana, Sindh Province, Pakistan",27.52,68.76,32°C / 90°F,"SW 15 km/h (~9 mph), monsoon flow",1004 hPa,Yes,"Sindh and Balochistan Provinces, Pakistan",Extreme,58%,32°C / 90°F,"Continuous monsoon flow, widespread flooding",1004 hPa,Extreme,22,2.00,1.00,0.64,3.64
24,Heat Wave,"Hyderabad, Telangana, India",17.38,78.47,41°C / 106°F,W 10 km/h (~6 mph),1001 hPa,Yes,"Telangana & Andhra Pradesh, Central India",High,84%,47°C / 117°F,"Dry, blistering winds, low humidity",1001 hPa,Extreme,42,2.00,0.50,0.58,3.08
25,Heat Wave,"Chicago Midway Airport (KMDW), Illinois, USA",41.79,-87.75,34°C / 93°F,SW 8 mph,1015 hPa,Yes,"Chicago Metropolitan Area, Illinois, USA",Extreme,78%,40°C / 104°F,High dew points pushing heat index to 125°F,1015 hPa,Extreme,40,2.00,1.00,0.62,3.62
26,Tornado,"Moore, Cleveland County, Oklahoma, USA",35.33,-97.49,77°F / 25°C,"S-SW 28 mph, active low-level jet",995 hPa,Yes,"Southern Oklahoma City Metro Area, USA",Extreme,81%,25°C / 77°F,"Violent EF5 wedge tornado, 210 mph winds",995 hPa,High,78,2.00,0.50,0.97,3.47
27,Tropical Cyclone,"Les Anglais, Grand'Anse Department, Haiti",18.25,-73.98,83°F / 28°C,"140 kt (~161 mph) sustained, N at 8 kt",934 hPa,Yes,Tiburon Peninsula (Southwestern Haiti),Extreme,83%,28°C / 83°F,145 mph sustained Category 4 winds,934 hPa,High,82,2.00,0.50,0.99,3.49
28,Tropical Cyclone,"Cameron, Cameron Parish, Louisiana, USA",29.80,-93.32,86°F / 30°C,"130 kt (~150 mph) sustained, NNW at 15 kt",937 hPa,Yes,Southwest Louisiana & SE Texas border,High,87%,30°C / 86°F,"150 mph sustained winds, 18ft surge",937 hPa,High,88,2.00,1.00,0.99,3.99
29,Derecho,"Columbus, Franklin County, Ohio, USA",39.96,-82.99,95°F / 35°C,"SW 15 mph, strong capping present",1006 hPa,Yes,"Ohio Valley to Mid-Atlantic States, USA",High,62%,35°C / 95°F,"Progressive bow echo, 70-90 mph winds",1006 hPa,High,62,2.00,1.00,1.00,4
30,Derecho,"Cedar Rapids, Linn County, Iowa, USA",41.98,-91.66,84°F / 29°C,"SSE 18 mph, elevated boundary layer instability",1010 hPa,Yes,"US Midwest (IA, IL, IN)",Extreme,69%,29°C / 84°F,Hurricane-force straight-line winds to 140mph,1010 hPa,High,55,1.00,0.50,0.86,2.36
31,Extratropical Cyclone,"Birmingham, Jefferson County, Alabama, USA",33.55,-86.80,35°F / 2°C,"NW 35 mph, blizzard conditions developing",965 hPa,Yes,Southeastern United States to East Coast,Extreme,91%,2°C / 35°F,"Dynamic thunder-snow, 50+ mph wind gusts",965 hPa,High,88,1.00,0.50,0.97,2.47
32,Flash Flood,"Boulder, Boulder County, Colorado, USA",40.01,-105.27,65°F / 18°C,"ENE 10 mph, persistent upslope flow",1013 hPa,Yes,"Colorado Front Range, USA",High,71%,18°C / 65°F,"Deep persistent moisture, up to 15in rain",1013 hPa,High,42,2.00,1.00,0.71,3.71
33,Riverine Flood,"Cedar Rapids, Linn County, Iowa, USA",41.98,-91.66,72°F / 22°C,S-SW 12 mph,1008 hPa,Yes,"Eastern Iowa (Cedar River Basin), USA",High,83%,22°C / 72°F,"Snowmelt runoff, river cresting at 31.1 ft",1008 hPa,High,35,2.00,1.00,0.52,3.52
34,Flash Flood,"Hiroshima, Hiroshima Prefecture, Japan",34.40,132.46,28°C / 82°F,SE 18 km/h (~11 mph),1007 hPa,Yes,"Chugoku Region (Hiroshima Prefecture), Japan",High,66%,28°C / 82°F,"Hyper-localized cloudbursts, severe mudslides",1007 hPa,High,52,2.00,1.00,0.86,3.86
35,Riverine Flood,"Lismore, Richmond Valley, New South Wales, Australia",-28.81,153.28,23°C / 73°F,"NNE 28 km/h (~17 mph), tropical moisture feed",1004 hPa,Yes,"Northern Rivers Region (NSW), Australia",Extreme,75%,23°C / 73°F,"Atmospheric rivers, record 14.4m crest",1004 hPa,High,45,2.00,0.50,0.70,3.2
36,Heat Wave,"Observatory Hill, Sydney, New South Wales, Australia",-33.87,151.21,36°C / 97°F,"NW 28 km/h (~17 mph), hot northerly",1016 hPa,Yes,"Sydney Metropolitan Area, Australia",Medium,88%,45.8°C / 114.4°F,Strong westerly flow carrying desert heat,1016 hPa,High,65,2.00,0.50,0.77,3.27
37,Tropical Cyclone,"Kagoshima, Kagoshima Prefecture, Japan",31.60,130.56,28°C / 82°F,"105 kt (~121 mph) sustained, NNW at 10 kt",940 hPa,Yes,"Kyushu Island, Japan",High,90%,28°C / 82°F,"Sustained winds over 100 mph, heavy surge",940 hPa,High,85,2.00,1.00,0.95,3.95
38,Monsoon Flooding,"Nowshera, Khyber Pakhtunkhwa, Pakistan",34.02,71.98,34°C / 93°F,"SW 20 km/h (~12 mph), active monsoon flow",1003 hPa,Yes,"Khyber Pakhtunkhwa and Punjab, Pakistan",Extreme,63%,34°C / 93°F,Torrential rains causing historic river flows,1003 hPa,High,30,2.00,0.50,0.67,3.17
39,Tropical Cyclone,"Gulf Shores, Baldwin County, Alabama, USA",30.26,-87.70,85°F / 29°C,"115 kt (~132 mph) sustained, NNW at 12 kt",946 hPa,Yes,Alabama and Florida Panhandle Coastline,High,86%,29°C / 85°F,"Category 3 landfall, 120 mph winds",946 hPa,High,82,2.00,1.00,0.96,3.96
40,Tropical Cyclone (Post-tropical),"Palm Springs area, Riverside County, California, USA",33.73,-116.37,89°F / 32°C,SW 38 mph (~33 kt) tropical-storm-force,1003 hPa,Yes,Coachella Valley & Southern CA Deserts,Medium,85%,32°C / 89°F,4-7 inches of rain triggering mudflows,1003 hPa,Medium,85,1.00,1.00,1.00,3
41,Polar Vortex Displacement,"Chicago O'Hare ASOS (KORD), Illinois, USA",41.98,-87.90,-11°F / -24°C,NW 22 mph; wind chill -35°F / -37°C,1036 hPa,Yes,"Upper Midwest, USA",Medium,92%,-27°C / -16°F,Sub-zero cold locked by high pressure,1036 hPa,Medium,88,1.00,1.00,0.96,2.96
42,Early-Season Blizzard,"Rapid City, Pennington County, South Dakota, USA",44.08,-103.23,26°F / -3°C,"NNE 40 mph, blizzard conditions",977 hPa,Yes,"Black Hills Region, South Dakota, USA",Medium,68%,-3°C / 26°F,"30-50 inches of wet heavy snow, 50+mph wind",977 hPa,Medium,48,2.00,1.00,0.80,3.8
43,Flash Flood,"Wimberley, Hays County, Texas, USA",30.00,-98.10,72°F / 22°C,"S 12 mph, strong moisture inflow",1009 hPa,Yes,"Texas Hill Country, USA",High,70%,22°C / 72°F,"12 inches of rain, Blanco River rises 33ft",1009 hPa,Medium,38,2.00,0.50,0.68,3.18
44,Flash Flood,"Baton Rouge, East Baton Rouge Parish, Louisiana, USA",30.45,-91.15,88°F / 31°C,"SSE 12 mph, deep Gulf moisture",1010 hPa,Yes,"Southern Louisiana Basins, USA",Extreme,73%,31°C / 88°F,"Stalled low-pressure, 30+ inches of rain",1010 hPa,Medium,40,2.00,0.00,0.67,2.67
45,Blizzard,"Philadelphia International Airport (KPHL), Pennsylvania, USA",39.87,-75.24,28°F / -2°C,"NE 28 mph, heavy snow developing",975 hPa,Yes,Northeast Corridor (Mid-Atlantic to NE),High,89%,-2°C / 28°F,Nor'easter producing 20-30 inches of snow,975 hPa,Medium,82,1.00,0.50,0.93,2.43
46,Bomb Cyclone,"Omaha, Douglas County, Nebraska, USA",41.26,-95.86,33°F / 1°C,"NNW 40 mph, blizzard conditions",968 hPa,Yes,"Central Plains & Missouri River Valley, USA",High,87%,1°C / 33°F,"Extreme pressure drop, hurricane-force winds",968 hPa,Medium,78,1.00,0.50,0.91,2.41
47,Riverine Flood,"Calgary, Alberta, Canada",51.05,-114.07,14°C / 57°F,SW 15 km/h (~9 mph),1008 hPa,Yes,"Southern Alberta River Basins, Canada",High,77%,14°C / 57°F,Heavy rain on late mountain snowpack,1008 hPa,Low,48,2.00,0.00,0.71,2.71
48,Heat Wave,"Phoenix Sky Harbor Airport (KPHX), Maricopa County, Arizona, USA",33.44,-112.01,108°F / 42°C,W 8 mph,1003 hPa,Yes,"Sonoran Desert (Maricopa County), AZ",High,95%,48.3°C / 119°F,"High-pressure dome, 31 days over 115°F",1003 hPa,Low,92,2.00,0.00,0.97,2.97
49,Flash Flood,"Montpelier, Washington County, Vermont, USA",44.26,-72.58,70°F / 21°C,"SE 8 mph, slow-moving system",1010 hPa,Yes,"Central Vermont & New England, USA",Medium,74%,21°C / 70°F,Atmospheric river drops 7-9 inches of rain,1010 hPa,Low,45,2.00,0.50,0.71,3.21
50,Blizzard,"Chicago O'Hare ASOS (KORD), Illinois, USA",41.98,-87.90,26°F / -3°C,"NE 32 mph, heavy snow developing",972 hPa,Yes,"Great Lakes Region & Northern Illinois, USA",High,91%,-3°C / 26°F,50+ mph winds with 21+ inches of snow,972 hPa,Low,90,2.00,0.00,0.99,2.99
Mean Scores (Gemini),,,,,,,,,,,,,,,,,1.7800,0.7000,0.8230,3.3030
