T-6h Precursor Inputs,,,,,,,,Forecast Predictions,,,,,,,Ground Truth,,Rubric Scores,,,
Model: ChatGPT,,,,,,,,,,,,,,,,,,,,
Item ID,Event Type,Location,Latitude,Longitude,Temperature (T-6h),Wind (T-6h),MSLP (T-6h),Event Will Occur,Affected Region,Severity,Forecast Confidence (%),At-Event Temperature,At-Event Wind,At-Event MSLP,GT Severity,GT Confidence (%),"Correctness
(0–2)","Severity
Alignment
(0–1)","Calibration
Score
(0–1)","Total
Score
(0–4)"
28,Tropical Cyclone,"Cameron, Cameron Parish, Louisiana, USA",29.80,-93.32,86°F / 30°C,"130 kt (~150 mph) sustained, NNW at 15 kt",937 hPa,Yes,"Cameron, Cameron Parish, Louisiana, USA",High,95%,86°F / 30°C,"130 kt (~150 mph) sustained, NNW at 15 kt",922.0 hPa,High,88,2.00,1.00,0.93,3.93
29,Derecho,"Columbus, Franklin County, Ohio, USA",39.96,-82.99,95°F / 35°C,"SW 15 mph, strong capping present",1006 hPa,Yes,"Columbus, Franklin County, Ohio, USA",Medium,90%,95°F / 35°C,"SW 15 mph, strong capping present",1006.0 hPa,High,62,2.00,0.50,0.72,3.22
30,Derecho,"Cedar Rapids, Linn County, Iowa, USA",41.98,-91.66,84°F / 29°C,"SSE 18 mph, elevated boundary layer instability",1010 hPa,Yes,"Cedar Rapids, Linn County, Iowa, USA",Medium,90%,84°F / 29°C,"SSE 18 mph, elevated boundary layer instability",1010.0 hPa,High,55,2.00,0.50,0.65,3.15
31,Extratropical Cyclone,"Birmingham, Jefferson County, Alabama, USA",33.55,-86.80,35°F / 2°C,"NW 35 mph, blizzard conditions developing",965 hPa,Yes,"Birmingham, Jefferson County, Alabama, USA",Medium,90%,35°F / 2°C,"NW 35 mph, blizzard conditions developing",965.0 hPa,High,88,2.00,0.50,0.98,3.48
32,Flash Flood,"Boulder, Boulder County, Colorado, USA",40.01,-105.27,65°F / 18°C,"ENE 10 mph, persistent upslope flow",1013 hPa,Yes,"Boulder, Boulder County, Colorado, USA",High,78%,65°F / 18°C,"ENE 10 mph, persistent upslope flow",1013.0 hPa,High,42,2.00,1.00,0.64,3.64
33,Riverine Flood,"Cedar Rapids, Linn County, Iowa, USA",41.98,-91.66,72°F / 22°C,S-SW 12 mph,1008 hPa,Yes,"Cedar Rapids, Linn County, Iowa, USA",High,78%,72°F / 22°C,S-SW 12 mph,1008.0 hPa,High,35,2.00,1.00,0.57,3.57
34,Flash Flood,"Hiroshima, Hiroshima Prefecture, Japan",34.40,132.46,28°C / 82°F,SE 18 km/h (~11 mph),1007 hPa,Yes,"Hiroshima, Hiroshima Prefecture, Japan",High,78%,28°C / 82°F,SE 18 km/h (~11 mph),1007.0 hPa,High,52,2.00,1.00,0.74,3.74
35,Riverine Flood,"Lismore, Richmond Valley, New South Wales, Australia",-28.81,153.28,23°C / 73°F,"NNE 28 km/h (~17 mph), tropical moisture feed",1004 hPa,Yes,"Lismore, Richmond Valley, New South Wales, Australia",High,78%,23°C / 73°F,"NNE 28 km/h (~17 mph), tropical moisture feed",1004.0 hPa,High,45,2.00,1.00,0.67,3.67
36,Heat Wave,"Observatory Hill, Sydney, New South Wales, Australia",-33.87,151.21,36°C / 97°F,"NW 28 km/h (~17 mph), hot northerly",1016 hPa,Yes,"Observatory Hill, Sydney, New South Wales, Australia",High,75%,36°C / 97°F (+3–8°C),"NW 28 km/h (~17 mph), hot northerly",1016.0 hPa,High,65,2.00,1.00,0.90,3.9
37,Tropical Cyclone,"Kagoshima, Kagoshima Prefecture, Japan",31.60,130.56,28°C / 82°F,"105 kt (~121 mph) sustained, NNW at 10 kt",940 hPa,Yes,"Kagoshima, Kagoshima Prefecture, Japan",High,95%,28°C / 82°F,"105 kt (~121 mph) sustained, NNW at 10 kt",925.0 hPa,High,85,2.00,1.00,0.90,3.9
38,Monsoon Flooding,"Nowshera, Khyber Pakhtunkhwa, Pakistan",34.02,71.98,34°C / 93°F,"SW 20 km/h (~12 mph), active monsoon flow",1003 hPa,Yes,"Nowshera, Khyber Pakhtunkhwa, Pakistan",High,78%,34°C / 93°F,"SW 20 km/h (~12 mph), active monsoon flow",1003.0 hPa,High,30,2.00,1.00,0.52,3.52
39,Tropical Cyclone,"Gulf Shores, Baldwin County, Alabama, USA",30.26,-87.70,85°F / 29°C,"115 kt (~132 mph) sustained, NNW at 12 kt",946 hPa,Yes,"Gulf Shores, Baldwin County, Alabama, USA",High,95%,85°F / 29°C,"115 kt (~132 mph) sustained, NNW at 12 kt",931.0 hPa,High,82,2.00,1.00,0.87,3.87
40,Tropical Cyclone (Post-tropical),"Palm Springs area, Riverside County, California, USA",33.73,-116.37,89°F / 32°C,SW 38 mph (~33 kt) tropical-storm-force,1003 hPa,Yes,"Palm Springs area, Riverside County, California, USA",High,95%,89°F / 32°C,SW 38 mph (~33 kt) tropical-storm-force,988.0 hPa,Medium,85,2.00,0.50,0.90,3.4
41,Polar Vortex Displacement,"Chicago O'Hare ASOS (KORD), Illinois, USA",41.98,-87.90,-11°F / -24°C,NW 22 mph; wind chill -35°F / -37°C,1036 hPa,Yes,"Chicago O'Hare ASOS (KORD), Illinois, USA",Medium,90%,-11°F / -24°C,NW 22 mph; wind chill -35°F / -37°C,1036.0 hPa,Medium,88,2.00,1.00,0.98,3.98
42,Early-Season Blizzard,"Rapid City, Pennington County, South Dakota, USA",44.08,-103.23,26°F / -3°C,"NNE 40 mph, blizzard conditions",977 hPa,Yes,"Rapid City, Pennington County, South Dakota, USA",High,78%,26°F / -3°C,"NNE 40 mph, blizzard conditions",977.0 hPa,Medium,48,2.00,0.50,0.70,3.2
43,Flash Flood,"Wimberley, Hays County, Texas, USA",30.00,-98.10,72°F / 22°C,"S 12 mph, strong moisture inflow",1009 hPa,Yes,"Wimberley, Hays County, Texas, USA",High,78%,72°F / 22°C,"S 12 mph, strong moisture inflow",1009.0 hPa,Medium,38,2.00,0.50,0.60,3.1
44,Flash Flood,"Baton Rouge, East Baton Rouge Parish, Louisiana, USA",30.45,-91.15,88°F / 31°C,"SSE 12 mph, deep Gulf moisture",1010 hPa,Yes,"Baton Rouge, East Baton Rouge Parish, Louisiana, USA",High,78%,88°F / 31°C,"SSE 12 mph, deep Gulf moisture",1010.0 hPa,Medium,40,2.00,0.50,0.62,3.12
45,Blizzard,"Philadelphia International Airport (KPHL), Pennsylvania, USA",39.87,-75.24,28°F / -2°C,"NE 28 mph, heavy snow developing",975 hPa,Yes,"Philadelphia International Airport (KPHL), Pennsylvania, USA",High,78%,28°F / -2°C,"NE 28 mph, heavy snow developing",975.0 hPa,Medium,82,2.00,0.50,0.96,3.46
46,Bomb Cyclone,"Omaha, Douglas County, Nebraska, USA",41.26,-95.86,33°F / 1°C,"NNW 40 mph, blizzard conditions",968 hPa,Yes,"Omaha, Douglas County, Nebraska, USA",Medium,90%,33°F / 1°C,"NNW 40 mph, blizzard conditions",968.0 hPa,Medium,78,2.00,1.00,0.88,3.88
47,Riverine Flood,"Calgary, Alberta, Canada",51.05,-114.07,14°C / 57°F,SW 15 km/h (~9 mph),1008 hPa,Yes,"Calgary, Alberta, Canada",High,78%,14°C / 57°F,SW 15 km/h (~9 mph),1008.0 hPa,Low,48,2.00,0.00,0.70,2.7
48,Heat Wave,"Phoenix Sky Harbor Airport (KPHX), Maricopa County, Arizona, USA",33.44,-112.01,108°F / 42°C,W 8 mph,1003 hPa,Yes,"Phoenix Sky Harbor Airport (KPHX), Maricopa County, Arizona, USA",Medium,75%,108°F / 42°C (+3–8°C),W 8 mph,1003.0 hPa,Low,92,2.00,0.50,0.83,3.33
49,Flash Flood,"Montpelier, Washington County, Vermont, USA",44.26,-72.58,70°F / 21°C,"SE 8 mph, slow-moving system",1010 hPa,Yes,"Montpelier, Washington County, Vermont, USA",High,78%,70°F / 21°C,"SE 8 mph, slow-moving system",1010.0 hPa,Low,45,2.00,0.00,0.67,2.67
50,Blizzard,"Chicago O'Hare ASOS (KORD), Illinois, USA",41.98,-87.90,26°F / -3°C,"NE 32 mph, heavy snow developing",972 hPa,Yes,"Chicago O'Hare ASOS (KORD), Illinois, USA",High,78%,26°F / -3°C,"NE 32 mph, heavy snow developing",972.0 hPa,Low,90,2.00,0.00,0.88,2.88
Mean Scores (ChatGPT),,,,,,,,,,,,,,,,,2.0000,0.6800,0.7640,3.4440
